Police Station,Latitude,Longitude
PS CYBER CRIME SHAHDARA,28.6648844,77.2867258
PS CYBER CRIME NORTH EAST,28.6722758,77.2710281
PS CYBER CRIME NORTH,28.6887168,77.2229754
PS CYBER CRIME CENTRAL,28.6416154,77.2409524
PS CYBER CRIME NORTH WEST,28.6921988,77.173735
PS CYBER CRIME OUTER NORTH,28.7252321,77.1413916
PS CYBER CRIME OUTER,28.6891501,77.1089633
PS CYBER CRIME DWARKA,28.578039,77.0550153
PS CYBER CRIME WEST,28.6516833,77.1198988
PS CYBER CRIME NEW DELHI,28.6247152,77.2129008
